index,binary,is_unit,unit_index,rotation,flip,ref_index_name
172,10101100,True,N/A,0,False,N/A
173,10101101,False,94,3,False,01011110
174,10101110,False,87,3,False,01010111
175,10101111,True,N/A,0,False,N/A
176,10110000,False,224,2,False,11100000
177,10110001,False,216,3,False,11011000
178,10110010,False,232,2,False,11101000
179,10110011,False,115,0,True,01110011
180,10110100,False,210,3,False,11010010
181,10110101,False,122,1,False,01111010
182,10110110,False,121,0,True,01111001
183,10110111,False,126,1,False,01111110
184,10111000,False,232,1,True,11101000
185,10111001,False,115,1,False,01110011
186,10111010,False,117,1,False,01110101
187,10111011,False,238,2,False,11101110
188,10111100,False,121,1,False,01111001
189,10111101,False,126,0,True,01111110
190,10111110,False,125,1,False,01111101
191,10111111,False,239,2,False,11101111
192,11000000,True,N/A,0,False,N/A
193,11000001,True,N/A,0,False,N/A
194,11000010,False,193,0,True,11000001
195,11000011,True,N/A,0,False,N/A
196,11000100,False,200,0,True,11001000
197,11000101,False,202,0,True,11001010
198,11000110,False,201,0,True,11001001
199,11000111,False,203,0,True,11001011
200,11001000,True,N/A,0,False,N/A
201,11001001,True,N/A,0,False,N/A
202,11001010,True,N/A,0,False,N/A
203,11001011,True,N/A,0,False,N/A
204,11001100,True,N/A,0,False,N/A
205,11001101,True,N/A,0,False,N/A
206,11001110,False,205,0,True,11001101
207,11001111,True,N/A,0,False,N/A
208,11010000,False,224,3,False,11100000
209,11010001,False,232,3,False,11101000
210,11010010,True,N/A,0,False,N/A
211,11010011,False,121,3,True,01111001
212,11010100,False,232,0,True,11101000
213,11010101,False,117,2,False,01110101
214,11010110,False,121,2,False,01111001
215,11010111,False,125,2,False,01111101
216,11011000,True,N/A,0,False,N/A
217,11011001,False,115,3,True,01110011
218,11011010,False,122,2,False,01111010
219,11011011,False,126,2,False,01111110
220,11011100,False,115,2,False,01110011
221,11011101,False,238,3,False,11101110
222,11011110,False,126,3,True,01111110
223,11011111,False,239,3,False,11101111
224,11100000,True,N/A,0,False,N/A
225,11100001,False,210,1,False,11010010
226,11100010,False,232,3,True,11101000
227,11100011,False,121,3,False,01111001
228,11100100,False,216,1,False,11011000
229,11100101,False,122,3,False,01111010
230,11100110,False,115,3,False,01110011
231,11100111,False,126,2,True,01111110
232,11101000,True,N/A,0,False,N/A
233,11101001,False,121,2,True,01111001
234,11101010,False,117,3,False,01110101
235,11101011,False,125,3,False,01111101
236,11101100,False,115,2,True,01110011
237,11101101,False,126,3,False,01111110
238,11101110,True,N/A,0,False,N/A
239,11101111,True,N/A,0,False,N/A
240,11110000,True,N/A,0,False,N/A
241,11110001,True,N/A,0,False,N/A
242,11110010,False,241,3,False,11110001
243,11110011,False,252,2,False,11111100
244,11110100,False,241,2,False,11110001
245,11110101,False,N/A,0,True,11111010
246,11110110,False,252,1,False,11111100
247,11110111,False,254,1,False,11111110
248,11111000,False,241,1,False,11110001
249,11111001,False,252,3,False,11111100
250,11111010,True,N/A,0,False,N/A
251,11111011,False,254,2,False,11111110
252,11111100,True,N/A,0,False,N/A
253,11111101,False,254,3,False,11111110
254,11111110,True,N/A,0,False,N/A
255,11111111,True,N/A,0,False,N/A
